Li1,2p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
400.00000,-60.59,4.20,0.00,0.00
400.02000,-61.16,4.20,0.00,0.00
400.04000,-61.73,4.20,0.00,0.00
400.06000,-62.28,4.19,0.00,0.00
400.08000,-62.82,4.19,0.00,0.00
400.10000,-63.36,4.19,0.00,0.00
400.12000,-63.88,4.19,0.00,0.00
400.14000,-64.40,4.18,0.00,0.00
400.16000,-64.91,4.18,0.00,0.00
400.18000,-65.41,4.18,0.00,0.00
400.20000,-65.91,4.18,0.00,0.00
400.22000,-66.40,4.17,0.00,0.00
400.24000,-66.88,4.17,0.00,0.00
400.26000,-67.36,4.17,0.00,0.00
400.28000,-67.82,4.17,0.00,0.00
400.30000,-68.29,4.16,0.00,0.00
400.32000,-68.75,4.16,0.00,0.00
400.34000,-69.20,4.16,0.00,0.00
400.36000,-69.65,4.15,0.00,0.00
400.38000,-70.09,4.15,0.00,0.00
400.40000,-70.52,4.15,0.00,0.00
400.42000,-70.96,4.15,0.00,0.00
400.44000,-71.38,4.14,0.00,0.00
400.46000,-71.81,4.14,0.00,0.00
400.48000,-72.23,4.14,0.00,0.00
400.50000,-72.64,4.14,0.00,0.00
400.52000,-73.05,4.13,0.00,0.00
400.54000,-73.46,4.13,0.00,0.00
400.56000,-73.86,4.13,0.00,0.00
400.58000,-74.26,4.13,0.00,0.00
400.60000,-74.65,4.12,0.00,0.00
400.62000,-75.05,4.12,0.00,0.00
400.64000,-75.44,4.12,0.00,0.00
400.66000,-75.82,4.12,0.00,0.00
400.68000,-76.20,4.11,0.00,0.00
400.70000,-76.58,4.11,0.00,0.00
400.72000,-76.96,4.11,0.00,0.00
400.74000,-77.33,4.11,0.00,0.00
400.76000,-77.70,4.10,0.00,0.00
400.78000,-78.07,4.10,0.00,0.00
400.80000,-78.44,4.10,0.00,0.00
400.82000,-78.80,4.10,0.00,0.00
400.84000,-79.16,4.09,0.00,0.00
400.86000,-79.52,4.09,0.00,0.00
400.88000,-79.87,4.09,0.00,0.00
400.90000,-80.23,4.09,0.00,0.00
400.92000,-80.58,4.08,0.00,0.00
400.94000,-80.92,4.08,0.00,0.00
400.96000,-81.27,4.08,0.00,0.00
400.98000,-81.62,4.08,0.00,0.00
401.00000,-81.96,4.07,0.00,0.00
401.02000,-82.30,4.07,0.00,0.00
401.04000,-82.64,4.07,0.00,0.00
401.06000,-82.98,4.07,0.00,0.00
401.08000,-83.31,4.06,0.00,0.00
401.10000,-83.64,4.06,0.00,0.00
401.12000,-83.98,4.06,0.00,0.00
401.14000,-84.31,4.06,0.00,0.00
401.16000,-84.64,4.05,0.00,0.00
401.18000,-84.96,4.05,0.00,0.00
401.20000,-85.29,4.05,0.00,0.00
401.22000,-85.61,4.05,0.00,0.00
401.24000,-85.94,4.05,0.00,0.00
401.26000,-86.26,4.04,0.00,0.00
401.28000,-86.58,4.04,0.00,0.00
401.30000,-86.90,4.04,0.00,0.00
401.32000,-87.21,4.04,0.00,0.00
401.34000,-87.53,4.03,0.00,0.00
401.36000,-87.84,4.03,0.00,0.00
401.38000,-88.16,4.03,0.00,0.00
401.40000,-88.47,4.03,0.00,0.00
401.42000,-88.78,4.02,0.00,0.00
401.44000,-89.09,4.02,0.00,0.00
401.46000,-89.40,4.02,0.00,0.00
401.48000,-89.71,4.02,0.00,0.00
401.50000,-90.02,4.01,0.00,0.00
401.52000,-90.32,4.01,0.00,0.00
401.54000,-90.63,4.01,0.00,0.00
401.56000,-90.93,4.01,0.00,0.00
401.58000,-91.24,4.00,0.00,0.00
401.60000,-91.54,4.00,0.00,0.00
401.62000,-91.84,4.00,0.00,0.00
401.64000,-92.14,4.00,0.00,0.00
401.66000,-92.44,3.99,0.00,0.00
401.68000,-92.74,3.99,0.00,0.00
401.70000,-93.04,3.99,0.00,0.00
401.72000,-93.34,3.99,0.00,0.00
401.74000,-93.63,3.99,0.00,0.00
401.76000,-93.93,3.98,0.00,0.00
401.78000,-94.22,3.98,0.00,0.00
401.80000,-94.52,3.98,0.00,0.00
401.82000,-94.81,3.98,0.00,0.00
401.84000,-95.11,3.97,0.00,0.00
401.86000,-95.40,3.97,0.00,0.00
401.88000,-95.69,3.97,0.00,0.00
401.90000,-95.98,3.97,0.00,0.00
401.92000,-96.28,3.96,0.00,0.00
401.94000,-96.57,3.96,0.00,0.00
401.96000,-96.86,3.96,0.00,0.00
401.98000,-97.15,3.96,0.00,0.00
402.00000,-97.44,3.96,0.00,0.00
402.02000,-97.72,3.95,0.00,0.00
402.04000,-98.01,3.95,0.00,0.00
402.06000,-98.30,3.95,0.00,0.00
402.08000,-98.59,3.95,0.00,0.00
402.10000,-98.88,3.94,0.00,0.00
402.12000,-99.16,3.94,0.00,0.00
402.14000,-99.45,3.94,0.00,0.00
402.16000,-99.73,3.94,0.00,0.00
402.18000,-100.02,3.93,0.00,0.00
402.20000,-100.30,3.93,0.00,0.00
402.22000,-100.59,3.93,0.00,0.00
402.24000,-100.87,3.93,0.00,0.00
402.26000,-101.16,3.93,0.00,0.00
402.28000,-101.44,3.92,0.00,0.00
402.30000,-101.72,3.92,0.00,0.00
402.32000,-102.01,3.92,0.00,0.00
402.34000,-102.29,3.92,0.00,0.00
402.36000,-102.57,3.91,0.00,0.00
402.38000,-102.86,3.91,0.00,0.00
402.40000,-103.14,3.91,0.00,0.00
402.42000,-103.42,3.91,0.00,0.00
402.44000,-103.70,3.90,0.00,0.00
402.46000,-103.98,3.90,0.00,0.00
402.48000,-104.27,3.90,0.00,0.00
402.50000,-104.55,3.90,0.00,0.00
402.52000,-104.83,3.90,0.00,0.00
402.54000,-105.11,3.89,0.00,0.00
402.56000,-105.39,3.89,0.00,0.00
402.58000,-105.67,3.89,0.00,0.00
402.60000,-105.95,3.89,0.00,0.00
402.62000,-106.23,3.88,0.00,0.00
402.64000,-106.51,3.88,0.00,0.00
402.66000,-106.79,3.88,0.00,0.00
402.68000,-107.07,3.88,0.00,0.00
402.70000,-107.35,3.88,0.00,0.00
402.72000,-107.63,3.87,0.00,0.00
402.74000,-107.91,3.87,0.00,0.00
402.76000,-108.19,3.87,0.00,0.00
402.78000,-108.47,3.87,0.00,0.00
402.80000,-108.75,3.86,0.00,0.00
402.82000,-109.03,3.86,0.00,0.00
402.84000,-109.31,3.86,0.00,0.00
402.86000,-109.59,3.86,0.00,0.00
402.88000,-109.87,3.86,0.00,0.00
402.90000,-110.15,3.85,0.00,0.00
402.92000,-110.43,3.85,0.00,0.00
402.94000,-110.71,3.85,0.00,0.00
402.96000,-110.99,3.85,0.00,0.00
402.98000,-111.27,3.85,0.00,0.00
403.00000,-111.56,3.84,0.00,0.00
403.02000,-111.84,3.84,0.00,0.00
403.04000,-112.12,3.84,0.00,0.00
403.06000,-112.40,3.84,0.00,0.00
403.08000,-112.68,3.83,0.00,0.00
403.10000,-112.96,3.83,0.00,0.00
403.12000,-113.24,3.83,0.00,0.00
403.14000,-113.52,3.83,0.00,0.00
403.16000,-113.80,3.83,0.00,0.00
403.18000,-114.08,3.82,0.00,0.00
403.20000,-114.36,3.82,0.00,0.00
403.22000,-114.65,3.82,0.00,0.00
403.24000,-114.93,3.82,0.00,0.00
403.26000,-115.21,3.81,0.00,0.00
403.28000,-115.49,3.81,0.00,0.00
403.30000,-115.77,3.81,0.00,0.00
403.32000,-116.06,3.81,0.00,0.00
403.34000,-116.34,3.81,0.00,0.00
403.36000,-116.62,3.80,0.00,0.00
403.38000,-116.91,3.80,0.00,0.00
403.40000,-117.19,3.80,0.00,0.00
403.42000,-117.47,3.80,0.00,0.00
403.44000,-117.76,3.80,0.00,0.00
403.46000,-118.04,3.79,0.00,0.00
403.48000,-118.33,3.79,0.00,0.00
403.50000,-118.61,3.79,0.00,0.00
403.52000,-118.90,3.79,0.00,0.00
403.54000,-119.18,3.79,0.00,0.00
403.56000,-119.47,3.78,0.00,0.00
403.58000,-119.75,3.78,0.00,0.00
403.60000,-120.04,3.78,0.00,0.00
403.62000,-120.33,3.78,0.00,0.00
403.64000,-120.61,3.77,0.00,0.00
403.66000,-120.90,3.77,0.00,0.00
403.68000,-121.19,3.77,0.00,0.00
403.70000,-121.48,3.77,0.00,0.00
403.72000,-121.76,3.77,0.00,0.00
403.74000,-122.05,3.76,0.00,0.00
403.76000,-122.34,3.76,0.00,0.00
403.78000,-122.63,3.76,0.00,0.00
403.80000,-122.92,3.76,0.00,0.00
403.82000,-123.21,3.76,0.00,0.00
403.84000,-123.50,3.75,0.00,0.00
403.86000,-123.79,3.75,0.00,0.00
403.88000,-124.08,3.75,0.00,0.00
403.90000,-124.37,3.75,0.00,0.00
403.92000,-124.67,3.75,0.00,0.00
403.94000,-124.96,3.74,0.00,0.00
403.96000,-125.25,3.74,0.00,0.00
403.98000,-125.55,3.74,0.00,0.00
404.00000,-125.84,3.74,0.00,0.00
404.02000,-126.13,3.74,0.00,0.00
404.04000,-126.43,3.73,0.00,0.00
404.06000,-126.72,3.73,0.00,0.00
404.08000,-127.02,3.73,0.00,0.00
404.10000,-127.32,3.73,0.00,0.00
404.12000,-127.61,3.73,0.00,0.00
404.14000,-127.91,3.72,0.00,0.00
404.16000,-128.21,3.72,0.00,0.00
404.18000,-128.51,3.72,0.00,0.00
404.20000,-128.81,3.72,0.00,0.00
404.22000,-129.11,3.71,0.00,0.00
404.24000,-129.41,3.71,0.00,0.00
404.26000,-129.71,3.71,0.00,0.00
404.28000,-130.01,3.71,0.00,0.00
404.30000,-130.31,3.71,0.00,0.00
404.32000,-130.61,3.70,0.00,0.00
404.34000,-130.91,3.70,0.00,0.00
404.36000,-131.22,3.70,0.00,0.00
404.38000,-131.52,3.70,0.00,0.00
404.40000,-131.83,3.70,0.00,0.00
404.42000,-132.13,3.69,0.00,0.00
404.44000,-132.44,3.69,0.00,0.00
404.46000,-132.74,3.69,0.00,0.00
404.48000,-133.05,3.69,0.00,0.00
404.50000,-133.36,3.69,0.00,0.00
404.52000,-133.67,3.68,0.00,0.00
404.54000,-133.98,3.68,0.00,0.00
404.56000,-134.29,3.68,0.00,0.00
404.58000,-134.60,3.68,0.00,0.00
404.60000,-134.91,3.68,0.00,0.00
404.62000,-135.22,3.67,0.00,0.00
404.64000,-135.53,3.67,0.00,0.00
404.66000,-135.85,3.67,0.00,0.00
404.68000,-136.16,3.67,0.00,0.00
404.70000,-136.47,3.67,0.00,0.00
404.72000,-136.79,3.67,0.00,0.00
404.74000,-137.11,3.66,0.00,0.00
404.76000,-137.42,3.66,0.00,0.00
404.78000,-137.74,3.66,0.00,0.00
404.80000,-138.06,3.66,0.00,0.00
404.82000,-138.38,3.66,0.00,0.00
404.84000,-138.70,3.65,0.00,0.00
404.86000,-139.02,3.65,0.00,0.00
404.88000,-139.34,3.65,0.00,0.00
404.90000,-139.66,3.65,0.00,0.00
404.92000,-139.99,3.65,0.00,0.00
404.94000,-140.31,3.64,0.00,0.00
404.96000,-140.64,3.64,0.00,0.00
404.98000,-140.96,3.64,0.00,0.00
405.00000,-141.29,3.64,0.00,0.00
405.02000,-141.62,3.64,0.00,0.00
405.04000,-141.95,3.63,0.00,0.00
405.06000,-142.28,3.63,0.00,0.00
405.08000,-142.61,3.63,0.00,0.00
405.10000,-142.94,3.63,0.00,0.00
405.12000,-143.27,3.63,0.00,0.00
405.14000,-143.60,3.62,0.00,0.00
405.16000,-143.94,3.62,0.00,0.00
405.18000,-144.27,3.62,0.00,0.00
405.20000,-144.61,3.62,0.00,0.00
405.22000,-144.94,3.62,0.00,0.00
405.24000,-145.28,3.61,0.00,0.00
405.26000,-145.62,3.61,0.00,0.00
405.28000,-145.96,3.61,0.00,0.00
405.30000,-146.30,3.61,0.00,0.00
405.32000,-146.64,3.61,0.00,0.00
405.34000,-146.99,3.61,0.00,0.00
405.36000,-147.33,3.60,0.00,0.00
405.38000,-147.67,3.60,0.00,0.00
405.40000,-148.02,3.60,0.00,0.00
405.42000,-148.37,3.60,0.00,0.00
405.44000,-148.72,3.60,0.00,0.00
405.46000,-149.06,3.59,0.00,0.00
405.48000,-149.41,3.59,0.00,0.00
405.50000,-149.77,3.59,0.00,0.00
405.52000,-150.12,3.59,0.00,0.00
405.54000,-150.47,3.59,0.00,0.00
405.56000,-150.83,3.58,0.00,0.00
405.58000,-151.18,3.58,0.00,0.00
405.60000,-151.54,3.58,0.00,0.00
405.62000,-151.90,3.58,0.00,0.00
405.64000,-152.26,3.58,0.00,0.00
405.66000,-152.62,3.58,0.00,0.00
405.68000,-152.98,3.57,0.00,0.00
405.70000,-153.34,3.57,0.00,0.00
405.72000,-153.71,3.57,0.00,0.00
405.74000,-154.07,3.57,0.00,0.00
405.76000,-154.44,3.57,0.00,0.00
405.78000,-154.81,3.56,0.00,0.00
405.80000,-155.18,3.56,0.00,0.00
405.82000,-155.55,3.56,0.00,0.00
405.84000,-155.92,3.56,0.00,0.00
405.86000,-156.29,3.56,0.00,0.00
405.88000,-156.67,3.55,0.00,0.00
405.90000,-157.05,3.55,0.00,0.00
405.92000,-157.42,3.55,0.00,0.00
405.94000,-157.80,3.55,0.00,0.00
405.96000,-158.18,3.55,0.00,0.00
405.98000,-158.56,3.55,0.00,0.00
406.00000,-158.95,3.54,0.00,0.00
406.02000,-159.33,3.54,0.00,0.00
406.04000,-159.72,3.54,0.00,0.00
406.06000,-160.10,3.54,0.00,0.00
406.08000,-160.49,3.54,0.00,0.00
406.10000,-160.88,3.53,0.00,0.00
406.12000,-161.28,3.53,0.00,0.00
406.14000,-161.67,3.53,0.00,0.00
406.16000,-162.06,3.53,0.00,0.00
406.18000,-162.46,3.53,0.00,0.00
406.20000,-162.86,3.53,0.00,0.00
406.22000,-163.26,3.52,0.00,0.00
406.24000,-163.66,3.52,0.00,0.00
406.26000,-164.06,3.52,0.00,0.00
406.28000,-164.47,3.52,0.00,0.00
406.30000,-164.87,3.52,0.00,0.00
406.32000,-165.28,3.51,0.00,0.00
406.34000,-165.69,3.51,0.00,0.00
406.36000,-166.10,3.51,0.00,0.00
406.38000,-166.51,3.51,0.00,0.00
406.40000,-166.93,3.51,0.00,0.00
406.42000,-167.34,3.51,0.00,0.00
406.44000,-167.76,3.50,0.00,0.00
406.46000,-168.18,3.50,0.00,0.00
406.48000,-168.60,3.50,0.00,0.00
406.50000,-169.02,3.50,0.00,0.00
406.52000,-169.45,3.50,0.00,0.00
406.54000,-169.88,3.50,0.00,0.00
406.56000,-170.31,3.49,0.00,0.00
406.58000,-170.74,3.49,0.00,0.00
406.60000,-171.17,3.49,0.00,0.00
406.62000,-171.60,3.49,0.00,0.00
406.64000,-172.04,3.49,0.00,0.00
406.66000,-172.48,3.48,0.00,0.00
406.68000,-172.92,3.48,0.00,0.00
406.70000,-173.36,3.48,0.00,0.00
406.72000,-173.80,3.48,0.00,0.00
406.74000,-174.25,3.48,0.00,0.00
406.76000,-174.70,3.48,0.00,0.00
406.78000,-175.15,3.47,0.00,0.00
406.80000,-175.60,3.47,0.00,0.00
406.82000,-176.06,3.47,0.00,0.00
406.84000,-176.51,3.47,0.00,0.00
406.86000,-176.97,3.47,0.00,0.00
406.88000,-177.43,3.47,0.00,0.00
406.90000,-177.90,3.46,0.00,0.00
406.92000,-178.36,3.46,0.00,0.00
406.94000,-178.83,3.46,0.00,0.00
406.96000,-179.30,3.46,0.00,0.00
406.98000,-179.77,3.46,0.00,0.00
407.00000,-180.25,3.46,0.00,0.00
407.02000,-180.72,3.45,0.00,0.00
407.04000,-181.20,3.45,0.00,0.00
407.06000,-181.68,3.45,0.00,0.00
407.08000,-182.17,3.45,0.00,0.00
407.10000,-182.66,3.45,0.00,0.00
407.12000,-183.14,3.44,0.00,0.00
407.14000,-183.64,3.44,0.00,0.00
407.16000,-184.13,3.44,0.00,0.00
407.18000,-184.63,3.44,0.00,0.00
407.20000,-185.12,3.44,0.00,0.00
407.22000,-185.63,3.44,0.00,0.00
407.24000,-186.13,3.43,0.00,0.00
407.26000,-186.64,3.43,0.00,0.00
407.28000,-187.15,3.43,0.00,0.00
407.30000,-187.66,3.43,0.00,0.00
407.32000,-188.17,3.43,0.00,0.00
407.34000,-188.69,3.43,0.00,0.00
407.36000,-189.21,3.42,0.00,0.00
407.38000,-189.74,3.42,0.00,0.00
407.40000,-190.26,3.42,0.00,0.00
407.42000,-190.79,3.42,0.00,0.00
407.44000,-191.32,3.42,0.00,0.00
407.46000,-191.86,3.42,0.00,0.00
407.48000,-192.40,3.41,0.00,0.00
407.50000,-192.94,3.41,0.00,0.00
407.52000,-193.48,3.41,0.00,0.00
407.54000,-194.03,3.41,0.00,0.00
407.56000,-194.58,3.41,0.00,0.00
407.58000,-195.13,3.41,0.00,0.00
