wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
400,-60.59,4.2,0,0,0,0
400.02,-61.16,4.2,0,0,0,0
400.04,-61.73,4.2,0,0,0,0
400.06,-62.28,4.19,0,0,0,0
400.08,-62.82,4.19,0,0,0,0
400.1,-63.36,4.19,0,0,0,0
400.12,-63.88,4.19,0,0,0,0
400.14,-64.4,4.18,0,0,0,0
400.16,-64.91,4.18,0,0,0,0
400.18,-65.41,4.18,0,0,0,0
400.2,-65.91,4.18,0,0,0,0
400.22,-66.4,4.17,0,0,0,0
400.24,-66.88,4.17,0,0,0,0
400.26,-67.36,4.17,0,0,0,0
400.28,-67.82,4.17,0,0,0,0
400.3,-68.29,4.16,0,0,0,0
400.32,-68.75,4.16,0,0,0,0
400.34,-69.2,4.16,0,0,0,0
400.36,-69.65,4.15,0,0,0,0
400.38,-70.09,4.15,0,0,0,0
400.4,-70.52,4.15,0,0,0,0
400.42,-70.96,4.15,0,0,0,0
400.44,-71.38,4.14,0,0,0,0
400.46,-71.81,4.14,0,0,0,0
400.48,-72.23,4.14,0,0,0,0
400.5,-72.64,4.14,0,0,0,0
400.52,-73.05,4.13,0,0,0,0
400.54,-73.46,4.13,0,0,0,0
400.56,-73.86,4.13,0,0,0,0
400.58,-74.26,4.13,0,0,0,0
400.6,-74.65,4.12,0,0,0,0
400.62,-75.05,4.12,0,0,0,0
400.64,-75.44,4.12,0,0,0,0
400.66,-75.82,4.12,0,0,0,0
400.68,-76.2,4.11,0,0,0,0
400.7,-76.58,4.11,0,0,0,0
400.72,-76.96,4.11,0,0,0,0
400.74,-77.33,4.11,0,0,0,0
400.76,-77.7,4.1,0,0,0,0
400.78,-78.07,4.1,0,0,0,0
400.8,-78.44,4.1,0,0,0,0
400.82,-78.8,4.1,0,0,0,0
400.84,-79.16,4.09,0,0,0,0
400.86,-79.52,4.09,0,0,0,0
400.88,-79.87,4.09,0,0,0,0
400.9,-80.23,4.09,0,0,0,0
400.92,-80.58,4.08,0,0,0,0
400.94,-80.92,4.08,0,0,0,0
400.96,-81.27,4.08,0,0,0,0
400.98,-81.62,4.08,0,0,0,0
401,-81.96,4.07,0,0,0,0
401.02,-82.3,4.07,0,0,0,0
401.04,-82.64,4.07,0,0,0,0
401.06,-82.98,4.07,0,0,0,0
401.08,-83.31,4.06,0,0,0,0
401.1,-83.64,4.06,0,0,0,0
401.12,-83.98,4.06,0,0,0,0
401.14,-84.31,4.06,0,0,0,0
401.16,-84.64,4.05,0,0,0,0
401.18,-84.96,4.05,0,0,0,0
401.2,-85.29,4.05,0,0,0,0
401.22,-85.61,4.05,0,0,0,0
401.24,-85.94,4.05,0,0,0,0
401.26,-86.26,4.04,0,0,0,0
401.28,-86.58,4.04,0,0,0,0
401.3,-86.9,4.04,0,0,0,0
401.32,-87.21,4.04,0,0,0,0
401.34,-87.53,4.03,0,0,0,0
401.36,-87.84,4.03,0,0,0,0
401.38,-88.16,4.03,0,0,0,0
401.4,-88.47,4.03,0,0,0,0
401.42,-88.78,4.02,0,0,0,0
401.44,-89.09,4.02,0,0,0,0
401.46,-89.4,4.02,0,0,0,0
401.48,-89.71,4.02,0,0,0,0
401.5,-90.02,4.01,0,0,0,0
401.52,-90.32,4.01,0,0,0,0
401.54,-90.63,4.01,0,0,0,0
401.56,-90.93,4.01,0,0,0,0
401.58,-91.24,4,0,0,0,0
401.6,-91.54,4,0,0,0,0
401.62,-91.84,4,0,0,0,0
401.64,-92.14,4,0,0,0,0
401.66,-92.44,3.99,0,0,0,0
401.68,-92.74,3.99,0,0,0,0
401.7,-93.04,3.99,0,0,0,0
401.72,-93.34,3.99,0,0,0,0
