Li1,2s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
400.00000,-86.36,0.21,0.00,0.00
400.02000,-86.37,0.21,0.00,0.00
400.04000,-86.39,0.21,0.00,0.00
400.06000,-86.40,0.21,0.00,0.00
400.08000,-86.41,0.21,0.00,0.00
400.10000,-86.43,0.21,0.00,0.00
400.12000,-86.44,0.21,0.00,0.00
400.14000,-86.46,0.21,0.00,0.00
400.16000,-86.47,0.21,0.00,0.00
400.18000,-86.49,0.21,0.00,0.00
400.20000,-86.50,0.21,0.00,0.00
400.22000,-86.51,0.21,0.00,0.00
400.24000,-86.53,0.21,0.00,0.00
400.26000,-86.54,0.21,0.00,0.00
400.28000,-86.56,0.21,0.00,0.00
400.30000,-86.57,0.21,0.00,0.00
400.32000,-86.58,0.21,0.00,0.00
400.34000,-86.60,0.21,0.00,0.00
400.36000,-86.61,0.21,0.00,0.00
400.38000,-86.63,0.21,0.00,0.00
400.40000,-86.64,0.21,0.00,0.00
400.42000,-86.65,0.21,0.00,0.00
400.44000,-86.67,0.21,0.00,0.00
400.46000,-86.68,0.21,0.00,0.00
400.48000,-86.70,0.21,0.00,0.00
400.50000,-86.71,0.21,0.00,0.00
400.52000,-86.73,0.21,0.00,0.00
400.54000,-86.74,0.21,0.00,0.00
400.56000,-86.75,0.21,0.00,0.00
400.58000,-86.77,0.21,0.00,0.00
400.60000,-86.78,0.21,0.00,0.00
400.62000,-86.80,0.21,0.00,0.00
400.64000,-86.81,0.21,0.00,0.00
400.66000,-86.82,0.21,0.00,0.00
400.68000,-86.84,0.21,0.00,0.00
400.70000,-86.85,0.21,0.00,0.00
400.72000,-86.87,0.21,0.00,0.00
400.74000,-86.88,0.21,0.00,0.00
400.76000,-86.89,0.21,0.00,0.00
400.78000,-86.91,0.21,0.00,0.00
400.80000,-86.92,0.21,0.00,0.00
400.82000,-86.94,0.21,0.00,0.00
400.84000,-86.95,0.21,0.00,0.00
400.86000,-86.97,0.21,0.00,0.00
400.88000,-86.98,0.21,0.00,0.00
400.90000,-86.99,0.21,0.00,0.00
400.92000,-87.01,0.21,0.00,0.00
400.94000,-87.02,0.21,0.00,0.00
400.96000,-87.04,0.21,0.00,0.00
400.98000,-87.05,0.21,0.00,0.00
401.00000,-87.06,0.21,0.00,0.00
401.02000,-87.08,0.21,0.00,0.00
401.04000,-87.09,0.21,0.00,0.00
401.06000,-87.11,0.21,0.00,0.00
401.08000,-87.12,0.21,0.00,0.00
401.10000,-87.14,0.21,0.00,0.00
401.12000,-87.15,0.21,0.00,0.00
401.14000,-87.16,0.21,0.00,0.00
401.16000,-87.18,0.21,0.00,0.00
401.18000,-87.19,0.21,0.00,0.00
401.20000,-87.21,0.21,0.00,0.00
401.22000,-87.22,0.21,0.00,0.00
401.24000,-87.23,0.21,0.00,0.00
401.26000,-87.25,0.21,0.00,0.00
401.28000,-87.26,0.21,0.00,0.00
401.30000,-87.28,0.21,0.00,0.00
401.32000,-87.29,0.21,0.00,0.00
401.34000,-87.31,0.21,0.00,0.00
401.36000,-87.32,0.21,0.00,0.00
401.38000,-87.33,0.21,0.00,0.00
401.40000,-87.35,0.21,0.00,0.00
401.42000,-87.36,0.21,0.00,0.00
401.44000,-87.38,0.21,0.00,0.00
401.46000,-87.39,0.21,0.00,0.00
401.48000,-87.41,0.21,0.00,0.00
401.50000,-87.42,0.21,0.00,0.00
401.52000,-87.43,0.21,0.00,0.00
401.54000,-87.45,0.21,0.00,0.00
401.56000,-87.46,0.21,0.00,0.00
401.58000,-87.48,0.21,0.00,0.00
401.60000,-87.49,0.21,0.00,0.00
401.62000,-87.51,0.21,0.00,0.00
401.64000,-87.52,0.21,0.00,0.00
401.66000,-87.53,0.21,0.00,0.00
401.68000,-87.55,0.21,0.00,0.00
401.70000,-87.56,0.21,0.00,0.00
401.72000,-87.58,0.21,0.00,0.00
401.74000,-87.59,0.21,0.00,0.00
401.76000,-87.60,0.21,0.00,0.00
401.78000,-87.62,0.21,0.00,0.00
401.80000,-87.63,0.21,0.00,0.00
401.82000,-87.65,0.21,0.00,0.00
401.84000,-87.66,0.21,0.00,0.00
401.86000,-87.68,0.21,0.00,0.00
401.88000,-87.69,0.21,0.00,0.00
401.90000,-87.70,0.21,0.00,0.00
401.92000,-87.72,0.21,0.00,0.00
401.94000,-87.73,0.21,0.00,0.00
401.96000,-87.75,0.21,0.00,0.00
401.98000,-87.76,0.21,0.00,0.00
402.00000,-87.78,0.21,0.00,0.00
402.02000,-87.79,0.21,0.00,0.00
402.04000,-87.80,0.21,0.00,0.00
402.06000,-87.82,0.21,0.00,0.00
402.08000,-87.83,0.21,0.00,0.00
402.10000,-87.85,0.21,0.00,0.00
402.12000,-87.86,0.21,0.00,0.00
402.14000,-87.88,0.21,0.00,0.00
402.16000,-87.89,0.21,0.00,0.00
402.18000,-87.90,0.21,0.00,0.00
402.20000,-87.92,0.21,0.00,0.00
402.22000,-87.93,0.21,0.00,0.00
402.24000,-87.95,0.21,0.00,0.00
402.26000,-87.96,0.21,0.00,0.00
402.28000,-87.98,0.21,0.00,0.00
402.30000,-87.99,0.21,0.00,0.00
