wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
400,-86.36,0.21,0,0,0,0
400.02,-86.37,0.21,0,0,0,0
400.04,-86.39,0.21,0,0,0,0
400.06,-86.4,0.21,0,0,0,0
400.08,-86.41,0.21,0,0,0,0
400.1,-86.43,0.21,0,0,0,0
400.12,-86.44,0.21,0,0,0,0
400.14,-86.46,0.21,0,0,0,0
400.16,-86.47,0.21,0,0,0,0
400.18,-86.49,0.21,0,0,0,0
400.2,-86.5,0.21,0,0,0,0
400.22,-86.51,0.21,0,0,0,0
400.24,-86.53,0.21,0,0,0,0
400.26,-86.54,0.21,0,0,0,0
400.28,-86.56,0.21,0,0,0,0
400.3,-86.57,0.21,0,0,0,0
400.32,-86.58,0.21,0,0,0,0
400.34,-86.6,0.21,0,0,0,0
400.36,-86.61,0.21,0,0,0,0
400.38,-86.63,0.21,0,0,0,0
400.4,-86.64,0.21,0,0,0,0
400.42,-86.65,0.21,0,0,0,0
400.44,-86.67,0.21,0,0,0,0
400.46,-86.68,0.21,0,0,0,0
400.48,-86.7,0.21,0,0,0,0
400.5,-86.71,0.21,0,0,0,0
400.52,-86.73,0.21,0,0,0,0
400.54,-86.74,0.21,0,0,0,0
400.56,-86.75,0.21,0,0,0,0
400.58,-86.77,0.21,0,0,0,0
400.6,-86.78,0.21,0,0,0,0
400.62,-86.8,0.21,0,0,0,0
400.64,-86.81,0.21,0,0,0,0
400.66,-86.82,0.21,0,0,0,0
400.68,-86.84,0.21,0,0,0,0
400.7,-86.85,0.21,0,0,0,0
400.72,-86.87,0.21,0,0,0,0
400.74,-86.88,0.21,0,0,0,0
400.76,-86.89,0.21,0,0,0,0
400.78,-86.91,0.21,0,0,0,0
400.8,-86.92,0.21,0,0,0,0
400.82,-86.94,0.21,0,0,0,0
400.84,-86.95,0.21,0,0,0,0
400.86,-86.97,0.21,0,0,0,0
400.88,-86.98,0.21,0,0,0,0
400.9,-86.99,0.21,0,0,0,0
400.92,-87.01,0.21,0,0,0,0
400.94,-87.02,0.21,0,0,0,0
400.96,-87.04,0.21,0,0,0,0
400.98,-87.05,0.21,0,0,0,0
401,-87.06,0.21,0,0,0,0
401.02,-87.08,0.21,0,0,0,0
401.04,-87.09,0.21,0,0,0,0
401.06,-87.11,0.21,0,0,0,0
401.08,-87.12,0.21,0,0,0,0
401.1,-87.14,0.21,0,0,0,0
401.12,-87.15,0.21,0,0,0,0
401.14,-87.16,0.21,0,0,0,0
401.16,-87.18,0.21,0,0,0,0
401.18,-87.19,0.21,0,0,0,0
401.2,-87.21,0.21,0,0,0,0
401.22,-87.22,0.21,0,0,0,0
401.24,-87.23,0.21,0,0,0,0
401.26,-87.25,0.21,0,0,0,0
401.28,-87.26,0.21,0,0,0,0
401.3,-87.28,0.21,0,0,0,0
401.32,-87.29,0.21,0,0,0,0
401.34,-87.31,0.21,0,0,0,0
401.36,-87.32,0.21,0,0,0,0
401.38,-87.33,0.21,0,0,0,0
401.4,-87.35,0.21,0,0,0,0
401.42,-87.36,0.21,0,0,0,0
401.44,-87.38,0.21,0,0,0,0
401.46,-87.39,0.21,0,0,0,0
401.48,-87.41,0.21,0,0,0,0
401.5,-87.42,0.21,0,0,0,0
401.52,-87.43,0.21,0,0,0,0
401.54,-87.45,0.21,0,0,0,0
401.56,-87.46,0.21,0,0,0,0
401.58,-87.48,0.21,0,0,0,0
401.6,-87.49,0.21,0,0,0,0
401.62,-87.51,0.21,0,0,0,0
401.64,-87.52,0.21,0,0,0,0
401.66,-87.53,0.21,0,0,0,0
401.68,-87.55,0.21,0,0,0,0
401.7,-87.56,0.21,0,0,0,0
401.72,-87.58,0.21,0,0,0,0
401.74,-87.59,0.21,0,0,0,0
401.76,-87.6,0.21,0,0,0,0
401.78,-87.62,0.21,0,0,0,0
401.8,-87.63,0.21,0,0,0,0
401.82,-87.65,0.21,0,0,0,0
401.84,-87.66,0.21,0,0,0,0
401.86,-87.68,0.21,0,0,0,0
401.88,-87.69,0.21,0,0,0,0
401.9,-87.7,0.21,0,0,0,0
401.92,-87.72,0.21,0,0,0,0
401.94,-87.73,0.21,0,0,0,0
401.96,-87.75,0.21,0,0,0,0
401.98,-87.76,0.21,0,0,0,0
402,-87.78,0.21,0,0,0,0
402.02,-87.79,0.21,0,0,0,0
402.04,-87.8,0.21,0,0,0,0
402.06,-87.82,0.21,0,0,0,0
402.08,-87.83,0.21,0,0,0,0
402.1,-87.85,0.21,0,0,0,0
402.12,-87.86,0.21,0,0,0,0
402.14,-87.88,0.21,0,0,0,0
402.16,-87.89,0.21,0,0,0,0
402.18,-87.9,0.21,0,0,0,0
402.2,-87.92,0.21,0,0,0,0
402.22,-87.93,0.21,0,0,0,0
402.24,-87.95,0.21,0,0,0,0
402.26,-87.96,0.21,0,0,0,0
402.28,-87.98,0.21,0,0,0,0
402.3,-87.99,0.21,0,0,0,0
402.32,-88,0.21,0,0,0,0
402.34,-88.02,0.21,0,0,0,0
402.36,-88.03,0.21,0,0,0,0
402.38,-88.05,0.21,0,0,0,0
402.4,-88.06,0.21,0,0,0,0
402.42,-88.08,0.21,0,0,0,0
402.44,-88.09,0.21,0,0,0,0
402.46,-88.11,0.21,0,0,0,0
402.48,-88.12,0.21,0,0,0,0
