wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty,alpha(m=2),alpha(m=2)_uncertainty
465,-844.12,54.96,-1228.35,94.31,205.01,17.91,-1049.13,70.06,-946.62,62.8,-639.11,42.13
465.5,-1007.04,64.82,-1608.14,115.02,255.69,20.43,-1262.73,82.87,-1134.88,74.08,-751.36,48.69
466,-1249.34,80.03,-2280.78,150.77,329.38,24.45,-1578.73,102.55,-1414.04,91.47,-919.96,59.06
466.5,-1652.57,106.08,-4140.7,258.82,449.47,31.54,-2102.04,136.17,-1877.31,121.26,-1203.1,77.17
467,-2466.71,159.97,-262.87,439.25,687.45,46.55,-3154.16,205.55,-2810.43,182.84,-1779.26,115.15
467.1,-2740.47,178.37,-1882.22,382.51,766.8,51.72,-3507.27,229.22,-3123.87,203.87,-1973.66,128.21
467.2,-3086.7,201.63,-3028.92,388.44,866.89,58.29,-3953.59,259.15,-3520.14,230.46,-2219.81,144.74
467.3,-3537.53,231.99,-4127.88,424.7,996.89,66.88,-4534.42,298.2,-4035.98,265.15,-2540.64,166.32
467.4,-4148.8,273.23,-5392.93,487.35,1172.75,78.58,-5321.55,351.24,-4735.18,312.29,-2976.05,195.69
467.5,-5025.06,332.47,-7053.97,584.78,1424.35,95.41,-6449.41,427.42,-5737.24,379.98,-3600.71,237.91
467.6,-6387.16,424.71,-9517.5,741.29,1814.79,121.68,-8201.96,546.02,-7294.56,485.39,-4572.37,303.69
467.7,-8795.96,588.04,-13768.08,1022.04,2504.32,168.25,-11300.28,756.02,-10048.12,672.05,-6291.64,420.26
467.72,-9518.53,637.06,-15032.93,1106.61,2711.03,182.24,-12229.56,819.06,-10874.05,728.08,-6807.5,455.26
467.74,-10372.49,695.01,-16524.68,1206.67,2955.28,198.78,-13327.77,893.56,-11850.13,794.3,-7417.21,496.63
467.76,-11397.28,764.56,-18311.7,1326.84,3248.35,218.63,-14645.63,982.98,-13021.45,873.79,-8148.94,546.29
467.78,-12649.9,849.58,-20492.73,1473.84,3606.5,242.91,-16256.4,1092.3,-14453.15,970.96,-9043.39,607.01
467.8,-14215.86,955.89,-23215.94,1657.72,4054.19,273.26,-18270.05,1228.99,-16242.95,1092.45,-10161.67,682.92
467.82,-16229.6,1092.61,-26714.22,1894.3,4629.81,312.31,-20859.42,1404.78,-18544.51,1248.71,-11599.79,780.57
467.84,-18915.32,1274.98,-31375.89,2209.95,5397.43,364.39,-24312.76,1639.25,-21614.04,1457.13,-13517.89,910.81
467.86,-22676.83,1530.42,-37900.43,2652.18,6472.42,437.36,-29149.25,1967.68,-25913.04,1749.06,-16204.41,1093.25
467.88,-28322.56,1913.85,-47688.09,3316.09,8085.76,546.89,-36408.32,2460.65,-32365.44,2187.26,-20236.8,1367.1
