wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty,alpha(m=2),alpha(m=2)_uncertainty,alpha(m=3),alpha(m=3)_uncertainty
400,-192.78,23.27,-800.57,83.91,14.13,9.78,-204.09,30.31,-201.26,28.54,-192.78,23.35,-178.64,15.6
400.5,-198.53,24.56,2938.88,305.07,15.52,10.35,-210.94,32.06,-207.84,30.17,-198.53,24.64,-183.01,16.36
401,-206.78,25.97,557.5,79.81,17.79,10.98,-221.01,33.98,-217.45,31.96,-206.78,26.05,-188.99,17.13
401.5,-214.76,27.62,306.24,64.33,19.91,11.71,-230.68,36.21,-226.7,34.04,-214.76,27.69,-194.85,18.08
402,-223.61,29.53,202.35,62.04,22.28,12.55,-241.43,38.77,-236.98,36.44,-223.61,29.59,-201.33,19.18
402.5,-233.56,31.75,139.87,63.49,24.98,13.53,-253.54,41.75,-248.55,39.22,-233.56,31.8,-208.58,20.49
403,-244.9,34.36,93.59,66.84,28.1,14.67,-267.38,45.25,-261.76,42.5,-244.9,34.41,-216.8,22.03
403.5,-258.03,37.48,54.12,71.66,31.77,16.03,-283.45,49.42,-277.09,46.41,-258.03,37.52,-226.25,23.89
404,-273.54,41.25,16.77,77.99,36.22,17.68,-302.52,54.47,-295.28,51.13,-273.54,41.3,-237.32,26.16
404.5,-292.48,45.92,-21.13,86.11,41.92,19.71,-326.02,60.7,-317.64,56.96,-292.48,45.96,-250.56,28.99
404.52,-293.34,46.13,-22.67,86.48,42.19,19.8,-327.09,60.98,-318.66,57.22,-293.34,46.17,-251.15,29.11
404.54,-294.2,46.34,-24.21,86.86,42.47,19.89,-328.18,61.26,-319.69,57.49,-294.2,46.38,-251.74,29.24
404.56,-295.08,46.55,-25.75,87.23,42.75,19.99,-329.28,61.54,-320.73,57.76,-295.08,46.59,-252.33,29.37
404.58,-295.97,46.77,-27.29,87.61,43.03,20.08,-330.39,61.83,-321.79,58.03,-295.97,46.81,-252.93,29.5
404.6,-296.86,46.99,-28.83,88,43.33,20.18,-331.52,62.12,-322.86,58.3,-296.86,47.02,-253.54,29.63
404.62,-297.77,47.21,-30.37,88.39,43.62,20.27,-332.67,62.41,-323.94,58.57,-297.77,47.24,-254.15,29.77
404.64,-298.69,47.43,-31.91,88.78,43.93,20.37,-333.83,62.71,-325.05,58.85,-298.69,47.46,-254.76,29.9
404.66,-299.62,47.65,-33.44,89.18,44.24,20.47,-335.01,63.01,-326.16,59.13,-299.62,47.69,-255.38,30.04
404.68,-300.57,47.88,-34.97,89.58,44.56,20.57,-336.21,63.31,-327.3,59.41,-300.57,47.91,-256.01,30.17
404.7,-301.52,48.11,-36.49,89.99,44.89,20.67,-337.43,63.62,-328.46,59.7,-301.52,48.14,-256.64,30.31
404.72,-302.5,48.34,-38,90.4,45.22,20.77,-338.68,63.92,-329.63,59.99,-302.5,48.37,-257.28,30.45
404.74,-303.49,48.57,-39.5,90.81,45.57,20.87,-339.95,64.23,-330.83,60.28,-303.49,48.61,-257.92,30.59
404.76,-304.5,48.81,-40.99,91.23,45.93,20.97,-341.24,64.55,-332.06,60.57,-304.5,48.84,-258.57,30.74
404.78,-305.52,49.04,-42.46,91.66,46.3,21.08,-342.57,64.87,-333.31,60.87,-305.52,49.08,-259.22,30.88
404.8,-306.57,49.28,-43.91,92.09,46.69,21.18,-343.92,65.19,-334.59,61.17,-306.57,49.32,-259.88,31.03
404.82,-307.64,49.53,-45.33,92.52,47.1,21.29,-345.32,65.51,-335.9,61.47,-307.64,49.56,-260.54,31.17
404.84,-308.74,49.77,-46.72,92.96,47.52,21.4,-346.76,65.84,-337.25,61.78,-308.74,49.81,-261.21,31.32
404.86,-309.86,50.02,-48.08,93.4,47.97,21.51,-348.24,66.17,-338.65,62.09,-309.86,50.06,-261.89,31.47
404.88,-311.02,50.27,-49.38,93.85,48.45,21.62,-349.78,66.51,-340.09,62.41,-311.02,50.31,-262.57,31.62
