wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty
400,404.39,14.38,443.08,16.65,39.68,1.86,325.03,15.94,444.07,13.91
400.5,323.8,13.33,388.77,14.68,35.08,1.67,253.63,14.67,358.88,12.94
401,262.95,12.56,348.09,13.19,31.72,1.54,199.52,13.73,294.66,12.22
401.5,215.17,11.97,316.51,12.02,29.15,1.44,156.88,13.01,244.32,11.68
402,176.51,11.5,291.34,11.09,27.13,1.37,122.25,12.45,203.64,11.25
402.5,144.45,11.13,270.82,10.33,25.51,1.31,93.43,11.99,169.96,10.91
403,117.31,10.81,253.8,9.71,24.18,1.27,68.95,11.62,141.49,10.62
403.5,93.96,10.55,239.49,9.18,23.08,1.24,47.8,11.3,117.03,10.38
404,73.56,10.33,227.3,8.75,22.15,1.21,29.26,11.04,95.71,10.18
404.5,55.52,10.14,216.82,8.38,21.36,1.2,12.8,10.81,76.88,10
405,39.38,9.97,207.74,8.06,20.68,1.18,-1.98,10.61,60.07,9.85
405.5,24.82,9.82,199.8,7.79,20.1,1.17,-15.38,10.44,44.92,9.71
406,11.55,9.69,192.82,7.56,19.59,1.17,-27.64,10.28,31.14,9.59
406.5,-0.64,9.56,186.66,7.36,19.15,1.16,-38.95,10.15,18.52,9.48
407,-11.91,9.46,181.2,7.19,18.77,1.16,-49.45,10.03,6.87,9.37
407.5,-22.39,9.36,176.34,7.04,18.44,1.16,-59.27,9.92,-3.96,9.28
408,-32.21,9.26,172,6.92,18.15,1.16,-68.51,9.82,-14.07,9.2
408.5,-41.46,9.18,168.13,6.81,17.89,1.17,-77.25,9.73,-23.57,9.12
409,-50.21,9.1,164.66,6.72,17.68,1.17,-85.56,9.65,-32.54,9.05
409.5,-58.53,9.03,161.57,6.65,17.49,1.18,-93.51,9.57,-41.04,8.98
410,-66.48,8.96,158.81,6.58,17.33,1.19,-101.13,9.5,-49.15,8.91
410.5,-74.1,8.89,156.36,6.53,17.2,1.2,-108.49,9.44,-56.9,8.85
411,-81.44,8.83,154.19,6.5,17.09,1.21,-115.63,9.39,-64.35,8.8
411.5,-88.54,8.78,152.29,6.47,17.02,1.23,-122.57,9.34,-71.52,8.75
412,-95.42,8.73,150.64,6.46,16.97,1.25,-129.36,9.3,-78.46,8.7
412.5,-102.13,8.68,149.25,6.45,16.95,1.27,-136.03,9.26,-85.19,8.65
413,-108.7,8.63,148.12,6.46,16.96,1.29,-142.63,9.24,-91.73,8.61
413.5,-115.14,8.59,147.26,6.49,17.03,1.32,-149.19,9.22,-98.12,8.57
414,-121.51,8.55,146.7,6.54,17.14,1.36,-155.79,9.22,-104.37,8.53
414.5,-127.83,8.52,146.51,6.63,17.34,1.42,-162.5,9.24,-110.49,8.49
415,-134.16,8.49,146.8,6.76,17.65,1.49,-169.46,9.3,-116.52,8.46
415.5,-140.6,8.47,147.78,6.99,18.15,1.61,-176.9,9.43,-122.46,8.43
416,-147.33,8.48,149.96,7.42,19.01,1.82,-185.34,9.71,-128.32,8.4
416.5,-154.79,8.54,154.63,8.39,20.66,2.24,-196.1,10.43,-134.13,8.37
417,-164.64,8.87,166.72,11.29,24.74,3.37,-214.11,12.85,-139.9,8.34
417.05,-165.96,8.95,168.97,11.88,25.49,3.59,-216.95,13.36,-140.47,8.34
417.1,-167.42,9.06,171.6,12.57,26.37,3.84,-220.16,13.98,-141.04,8.34
417.15,-169.02,9.19,174.7,13.41,27.41,4.14,-223.84,14.73,-141.62,8.34
417.2,-170.84,9.35,178.4,14.43,28.64,4.5,-228.12,15.66,-142.19,8.34
417.25,-172.91,9.57,182.91,15.68,30.15,4.95,-233.21,16.82,-142.76,8.33
417.3,-175.35,9.87,188.52,17.27,32.02,5.51,-239.39,18.31,-143.34,8.33
417.35,-178.31,10.28,195.66,19.32,34.4,6.22,-247.1,20.25,-143.91,8.33
417.4,-182.02,10.87,205.06,22.07,37.53,7.16,-257.08,22.88,-144.48,8.33
417.45,-186.9,11.77,218.01,25.89,41.85,8.46,-270.6,26.58,-145.06,8.32
417.5,-193.79,13.21,236.96,31.54,48.16,10.37,-290.12,32.1,-145.63,8.32
417.55,-204.48,15.73,267.3,40.66,58.28,13.45,-321.03,41.1,-146.2,8.32
417.6,-223.85,20.84,323.71,57.74,77.08,19.17,-378,58.04,-146.77,8.32
417.65,-271.49,34.5,464.91,100.71,124.14,33.52,-519.77,100.88,-147.34,8.32
417.68,-361.9,61.56,735.14,183.14,214.22,61.02,-790.33,183.22,-147.68,8.31
417.7,-603.66,135.01,1459.74,404.33,455.75,134.76,-1515.16,404.36,-147.91,8.31
417.705,-794.86,193.3,2033.16,579.41,646.89,193.12,-2088.64,579.42,-147.97,8.31
417.706,-854.85,211.6,2213.1,634.35,706.87,211.44,-2268.59,634.36,-147.98,8.31
417.707,-927.41,233.73,2430.75,700.8,779.42,233.59,-2486.25,700.81,-147.99,8.31
417.708,-1016.95,261.05,2699.33,782.81,868.95,260.93,-2754.84,782.82,-148,8.31
417.709,-1130.22,295.62,3039.11,886.56,982.21,295.51,-3094.64,886.56,-148.02,8.31
417.71,-1278.1,340.76,3482.72,1022.01,1130.08,340.66,-3538.26,1022.01,-148.03,8.31
417.711,-1479.32,402.18,4086.33,1206.31,1331.28,402.1,-4141.88,1206.31,-148.04,8.31
417.712,-1769.08,490.63,4955.57,1471.73,1621.02,490.57,-5011.12,1471.72,-148.05,8.31
417.713,-2222.3,629,6315.2,1886.88,2074.24,628.95,-6370.77,1886.87,-148.06,8.31
417.714,-3031.68,876.13,8743.31,2628.28,2883.61,876.09,-8798.89,2628.27,-148.07,8.31
