wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty,alpha(m=2),alpha(m=2)_uncertainty
400,-634.75,13.09,-660.14,15.17,31.96,2.93,-666.71,14.33,-650.73,13.65,-602.78,12.44
400.5,-736.19,13.84,-801.95,17.73,43.2,3.28,-779.38,15.47,-757.79,14.59,-692.99,12.85
401,-882.94,15.14,-1009.37,21.47,60.03,3.84,-942.97,17.38,-912.96,16.19,-822.92,13.64
401.5,-1115.65,17.58,-1341.25,27.39,88.02,4.81,-1203.68,20.79,-1159.67,19.1,-1027.63,15.24
402,-1544.54,22.82,-1957.97,38.27,143.19,6.88,-1687.73,27.77,-1616.13,25.18,-1401.35,19.11
402.02,-1569.4,23.14,-1993.86,38.9,146.51,7.02,-1715.91,28.19,-1642.66,25.55,-1422.89,19.37
402.04,-1595.15,23.48,-2031.04,39.55,149.96,7.16,-1745.11,28.63,-1670.13,25.94,-1445.19,19.64
402.06,-1621.82,23.84,-2069.56,40.23,153.54,7.3,-1775.36,29.08,-1698.59,26.34,-1468.28,19.92
402.08,-1649.47,24.2,-2109.51,40.93,157.27,7.46,-1806.74,29.56,-1728.11,26.76,-1492.19,20.23
402.1,-1678.15,24.59,-2150.96,41.66,161.16,7.62,-1839.31,30.05,-1758.73,27.19,-1517,20.55
402.12,-1707.93,24.99,-2194.01,42.41,165.2,7.79,-1873.13,30.56,-1790.53,27.64,-1542.73,20.89
402.14,-1738.86,25.41,-2238.75,43.2,169.42,7.98,-1908.28,31.1,-1823.57,28.12,-1569.44,21.24
402.16,-1771.02,25.85,-2285.27,44.01,173.82,8.17,-1944.84,31.66,-1857.93,28.61,-1597.21,21.63
402.18,-1804.49,26.31,-2333.69,44.86,178.41,8.38,-1982.9,32.24,-1893.69,29.12,-1626.08,22.03
402.2,-1839.34,26.79,-2384.13,45.74,183.21,8.6,-2022.55,32.85,-1930.94,29.66,-1656.13,22.47
402.22,-1875.67,27.3,-2436.71,46.67,188.22,8.83,-2063.89,33.48,-1969.78,30.23,-1687.45,22.93
402.24,-1913.57,27.84,-2491.57,47.63,193.47,9.09,-2107.03,34.15,-2010.3,30.82,-1720.1,23.43
402.26,-1953.14,28.4,-2548.88,48.64,198.96,9.36,-2152.11,34.84,-2052.62,31.44,-1754.18,23.97
402.28,-1994.52,28.99,-2608.78,49.69,204.72,9.66,-2199.24,35.57,-2096.88,32.09,-1789.8,24.55
402.3,-2037.81,29.62,-2671.47,50.79,210.75,9.98,-2248.57,36.34,-2143.19,32.77,-1827.06,25.18
402.32,-2083.17,30.29,-2737.13,51.95,217.09,10.33,-2300.26,37.14,-2191.72,33.49,-1866.09,25.87
402.34,-2130.76,31,-2805.99,53.17,223.73,10.72,-2354.49,37.99,-2242.62,34.25,-1907.03,26.63
402.36,-2180.74,31.76,-2878.28,54.45,230.71,11.16,-2411.44,38.88,-2296.09,35.05,-1950.03,27.47
402.38,-2233.3,32.57,-2954.26,55.8,238.04,11.64,-2471.34,39.81,-2352.32,35.9,-1995.26,28.41
402.4,-2288.67,33.43,-3034.21,57.23,245.73,12.19,-2534.41,40.8,-2411.54,36.8,-2042.94,29.46
402.42,-2347.1,34.37,-3118.45,58.75,253.81,12.82,-2600.91,41.85,-2474,37.75,-2093.29,30.67
402.44,-2408.85,35.4,-3207.3,60.36,262.28,13.56,-2671.13,42.96,-2539.99,38.77,-2146.57,32.07
402.46,-2474.25,36.52,-3301.15,62.08,271.14,14.42,-2745.39,44.13,-2609.82,39.86,-2203.12,33.71
402.48,-2543.69,37.77,-3400.38,63.93,280.37,15.47,-2824.06,45.37,-2683.88,41.02,-2263.33,35.69
402.5,-2617.61,39.19,-3505.43,65.93,289.92,16.76,-2907.53,46.7,-2762.57,42.29,-2327.69,38.12
402.52,-2696.58,40.84,-3616.72,68.12,299.7,18.4,-2996.28,48.1,-2846.43,43.66,-2396.87,41.23
402.54,-2781.3,42.83,-3734.67,70.56,309.49,20.58,-3090.8,49.61,-2936.05,45.19,-2471.81,45.34
402.56,-2872.81,45.37,-3859.59,73.35,318.87,23.62,-3191.68,51.21,-3032.24,46.92,-2553.93,51.09
402.58,-2972.65,48.91,-3991.45,76.74,326.95,28.13,-3299.6,52.94,-3136.12,48.98,-2645.7,59.71
402.6,-3083.73,54.54,-4129.28,81.32,331.58,35.55,-3415.31,54.79,-3249.52,51.7,-2752.15,73.99
402.62,-3213.05,65.67,-4268.8,89.07,326.65,49.78,-3539.69,56.78,-3376.37,56.11,-2886.4,101.78
402.64,-3387.56,97.9,-4388.69,110.65,286.2,87.24,-3673.77,58.93,-3530.66,68.01,-3101.36,175.83
402.655,-3679.03,217.29,-4353.78,201.9,102.35,212.44,-3781.38,60.66,-3730.2,119.02,-3576.67,425.45
