wavelength,alpha_0,alpha_0_uncertainty,alpha(m=0),alpha(m=0)_uncertainty
400,-553.22,2.72,-553.22,2.72
400.5,-559.03,2.74,-559.03,2.74
401,-564.93,2.77,-564.93,2.77
401.5,-570.93,2.8,-570.93,2.8
402,-577.04,2.82,-577.04,2.82
402.5,-583.25,2.85,-583.25,2.85
403,-589.57,2.88,-589.57,2.88
403.5,-596,2.9,-596,2.9
404,-602.54,2.93,-602.54,2.93
404.5,-609.2,2.96,-609.2,2.96
405,-615.98,2.99,-615.98,2.99
405.5,-622.88,3.02,-622.88,3.02
406,-629.91,3.05,-629.91,3.05
406.5,-637.07,3.08,-637.07,3.08
407,-644.36,3.12,-644.36,3.12
407.5,-651.78,3.15,-651.78,3.15
408,-659.35,3.18,-659.35,3.18
408.5,-667.06,3.21,-667.06,3.21
409,-674.92,3.25,-674.92,3.25
409.5,-682.94,3.28,-682.94,3.28
410,-691.11,3.32,-691.11,3.32
410.5,-699.45,3.36,-699.45,3.36
411,-707.95,3.4,-707.95,3.4
411.5,-716.63,3.43,-716.63,3.43
412,-725.48,3.47,-725.48,3.47
412.5,-734.52,3.51,-734.52,3.51
413,-743.74,3.55,-743.74,3.55
413.5,-753.16,3.6,-753.16,3.6
414,-762.79,3.64,-762.79,3.64
414.5,-772.62,3.68,-772.62,3.68
415,-782.66,3.73,-782.66,3.73
415.5,-792.93,3.77,-792.93,3.77
416,-803.43,3.82,-803.43,3.82
416.5,-814.16,3.87,-814.16,3.87
417,-825.14,3.92,-825.14,3.92
417.5,-836.37,3.97,-836.37,3.97
418,-847.86,4.02,-847.86,4.02
418.5,-859.63,4.07,-859.63,4.07
419,-871.68,4.12,-871.68,4.12
419.5,-884.02,4.18,-884.02,4.18
420,-896.66,4.24,-896.66,4.24
420.5,-909.61,4.29,-909.61,4.29
421,-922.89,4.35,-922.89,4.35
421.5,-936.51,4.41,-936.51,4.41
422,-950.48,4.48,-950.48,4.48
422.5,-964.82,4.54,-964.82,4.54
423,-979.53,4.61,-979.53,4.61
423.5,-994.64,4.68,-994.64,4.68
424,-1010.15,4.75,-1010.15,4.75
424.5,-1026.1,4.82,-1026.1,4.82
425,-1042.49,4.89,-1042.49,4.89
425.5,-1059.34,4.97,-1059.34,4.97
426,-1076.68,5.05,-1076.68,5.05
426.5,-1094.53,5.13,-1094.53,5.13
427,-1112.9,5.21,-1112.9,5.21
427.5,-1131.82,5.29,-1131.82,5.29
428,-1151.32,5.38,-1151.32,5.38
428.5,-1171.42,5.47,-1171.42,5.47
429,-1192.15,5.57,-1192.15,5.57
429.5,-1213.54,5.66,-1213.54,5.66
430,-1235.63,5.76,-1235.63,5.76
430.5,-1258.45,5.87,-1258.45,5.87
431,-1282.03,5.97,-1282.03,5.97
431.5,-1306.41,6.08,-1306.41,6.08
432,-1331.64,6.2,-1331.64,6.2
432.08,-1335.76,6.22,-1335.76,6.22
