wavelength,alpha_0,alpha_0_uncertainty
400,117.29,10.57
400.5,93.79,10.34
401,73.35,10.15
401.5,55.32,9.99
402,39.25,9.85
402.5,24.77,9.72
403,11.61,9.61
403.5,-0.44,9.51
404,-11.57,9.43
404.5,-21.91,9.35
405,-31.57,9.27
405.5,-40.65,9.2
406,-49.23,9.14
406.5,-57.37,9.08
407,-65.13,9.03
407.5,-72.56,8.98
408,-79.7,8.94
408.5,-86.58,8.89
409,-93.24,8.85
409.5,-99.7,8.82
410,-105.99,8.78
410.5,-112.13,8.75
411,-118.13,8.72
411.5,-124.02,8.69
412,-129.81,8.66
412.5,-135.52,8.64
413,-141.16,8.62
413.5,-146.74,8.6
414,-152.27,8.58
414.5,-157.76,8.56
415,-163.23,8.54
415.5,-168.69,8.53
416,-174.14,8.52
416.5,-179.6,8.51
417,-185.07,8.5
417.5,-190.57,8.5
418,-196.1,8.49
418.5,-201.67,8.49
419,-207.31,8.49
419.5,-213.01,8.5
420,-218.79,8.5
420.5,-224.66,8.51
421,-230.65,8.52
421.5,-236.76,8.54
422,-243.01,8.55
422.5,-249.44,8.58
423,-256.05,8.6
423.5,-262.9,8.64
424,-270,8.67
424.5,-277.42,8.72
425,-285.19,8.78
425.5,-293.4,8.84
426,-302.13,8.92
426.5,-311.5,9.02
427,-321.67,9.15
427.5,-332.85,9.3
428,-345.34,9.5
428.5,-359.6,9.77
429,-376.29,10.13
429.5,-396.52,10.64
430,-422.17,11.4
430.5,-456.77,12.61
431,-507.87,14.67
431.5,-594.9,18.73
432,-788.09,28.88
432.08,-844.34,31.97
432.16,-915.19,35.9
432.24,-1007.3,41.08
432.32,-1132.11,48.16
432.4,-1311.04,58.39
432.48,-1589.48,74.41
432.56,-2083.3,102.98
432.64,-3202.25,167.97
432.67,-4101.52,220.28
432.68,-4540.41,245.82
432.69,-5094.55,278.07
432.7,-5816.2,320.09
432.71,-6794.88,377.07
432.72,-8197.69,458.76
432.73,-10376.66,585.67
432.74,-14222.42,809.67
432.75,-22832.28,1311.19
432.76,-59467.46,3445.25
432.77,93925.77,5490.3
432.78,25904.21,1527.9
432.79,14909.95,887.49
432.8,10410.38,625.4
432.81,7962.75,482.85
432.82,6424.02,393.24
432.83,5367.2,331.7
432.84,4596.53,286.83
432.85,4009.64,252.67
432.86,3547.79,225.79
432.87,3174.85,204.09
432.95,1651.34,115.54
433.03,1051.08,80.77
433.11,729.66,62.25
433.19,529.2,50.77
433.27,392.07,42.98
433.35,292.24,37.36
433.43,216.21,33.13
433.51,156.28,29.83
434.01,-46.45,19.2
434.51,-136.42,15.05
435.01,-189.36,12.98
435.51,-225.51,11.82
436.01,-252.69,11.11
436.51,-274.56,10.65
437.01,-293.04,10.35
437.51,-309.26,10.15
438.01,-323.92,10.02
438.51,-337.46,9.94
439.01,-350.21,9.89
439.51,-362.38,9.86
440.01,-374.14,9.86
440.51,-385.61,9.87
441.01,-396.89,9.9
441.51,-408.05,9.93
442.01,-419.16,9.98
442.51,-430.27,10.03
443.01,-441.42,10.1
443.51,-452.66,10.17
444.01,-464.01,10.25
444.51,-475.51,10.33
445.01,-487.2,10.42
445.51,-499.08,10.52
446.01,-511.21,10.62
446.8,-530.9,10.8
447.3,-543.74,10.92
447.8,-556.92,11.05
448.3,-570.44,11.19
448.8,-584.35,11.33
449.3,-598.67,11.48
449.8,-613.43,11.64
450.3,-628.67,11.81
450.8,-644.41,11.98
451.3,-660.69,12.17
451.8,-677.55,12.36
452.3,-695.03,12.57
452.8,-713.18,12.79
453.3,-732.05,13.02
453.8,-751.67,13.26
454.3,-772.12,13.51
454.8,-793.45,13.78
455.3,-815.74,14.07
455.8,-839.04,14.37
456.3,-863.46,14.69
456.8,-889.07,15.03
457.3,-915.97,15.39
457.8,-944.28,15.78
458.3,-974.13,16.18
458.8,-1005.64,16.62
459.3,-1038.99,17.09
459.8,-1074.33,17.59
460.3,-1111.89,18.12
460.36,-1116.55,18.19
460.42,-1121.25,18.26
460.48,-1125.99,18.32
460.54,-1130.76,18.39
460.58,-1133.97,18.44
460.61,-1136.38,18.47
460.64,-1138.8,18.51
460.67,-1141.23,18.54
460.7,-1143.67,18.58
460.73,-1146.12,18.61
460.76,-1148.58,18.65
460.79,-1151.05,18.69
460.82,-1153.53,18.72
460.85,-1156.02,18.76
460.87,-1157.68,18.78
460.9,-1160.19,18.82
460.93,-1162.7,18.86
460.96,-1165.23,18.89
460.99,-1167.76,18.93
461.02,-1170.31,18.97
461.05,-1172.86,19
461.08,-1175.43,19.04
461.11,-1178.01,19.08
461.14,-1180.59,19.12
461.17,-1183.19,19.15
461.23,-1188.41,19.23
461.29,-1193.68,19.31
461.35,-1198.99,19.38
461.41,-1204.34,19.46
461.91,-1250.73,20.15
462.41,-1300.56,20.89
462.91,-1354.24,21.69
463.41,-1412.28,22.57
463.91,-1475.26,23.54
464.41,-1543.88,24.6
464.91,-1619,25.77
465.41,-1701.64,27.08
465.91,-1793.07,28.54
466.41,-1894.87,30.18
466.91,-2009.03,32.05
467.6,-2191.71,35.08
468.1,-2347.04,37.69
468.6,-2527.11,40.76
469.1,-2738.76,44.42
469.6,-2991.68,48.85
470.1,-3300.05,54.34
470.6,-3685.45,61.31
471.1,-4185.28,70.43
471.6,-4856.72,82.95
472.1,-5817.11,101.13
472.6,-7315.32,129.93
473.1,-10005.87,182.4
473.6,-16348.12,307.59
473.68,-18268.63,345.68
473.76,-20730.8,394.58
473.84,-24002.69,459.64
473.92,-28564.24,550.44
473.96,-31593.72,610.78
474,-35368.16,685.99
474.04,-40201.4,782.34
474.08,-46612.32,910.17
474.12,-55525.13,1087.95
474.16,-68761.11,1352.02
474.2,-90475.63,1785.34
474.24,-132660.4,2627.27
474.28,-250092.97,4971.27
474.32,-2307015.95,46030.63
474.33,2165120.34,43240.46
474.37,246319.84,4938.25
474.41,130128.54,2619.04
474.45,88203.43,1782.3
474.49,66583.83,1350.89
474.53,53392.62,1087.72
474.57,44504.22,910.45
474.61,38107.89,782.93
474.65,33283.91,686.79
474.69,29515.54,611.73
474.73,26490.12,551.5
474.81,21933.01,460.87
474.89,18662.66,395.93
474.97,16200.29,347.12
475.05,14278.43,309.12
475.55,7912.48,184.49
476.05,5179.39,132.81
476.55,3620.45,105.12
477.05,2578.89,88.43
477.55,1802.14,77.89
478.05,1169.33,71.35
478.55,611.57,67.79
479.05,81.69,66.77
479.55,-460.55,68.24
480.05,-1059.22,72.5
480.55,-1775.44,80.4
481.05,-2712.59,93.66
481.55,-4080.22,116.2
482.05,-6404.27,158.14
482.55,-11533.39,255.6
482.64,-13221.07,288.17
482.73,-15402.66,330.43
482.82,-18335.17,387.41
482.91,-22491.09,468.38
482.94,-24291.29,503.5
482.99,-27977.05,575.46
483.04,-32891.78,671.51
483.09,-39775.08,806.13
483.14,-50108.85,1008.35
483.19,-67360.48,1346.11
483.24,-101983.07,2024.2
483.29,-206860.67,4078.72
483.39,203567.4,3962.75
483.44,103177.49,1996.15
483.49,69386.13,1334.32
483.54,52425.81,1002.25
483.59,42227.31,802.65
483.64,35417.94,669.44
483.69,30548.26,574.23
483.74,26892.22,502.8
483.79,24045.93,447.23
483.84,21766.78,402.77
483.89,19900.09,366.4
483.98,17193.94,315.23
484.07,15289.7,276.73
484.16,13740.39,246.68
484.25,12494.88,222.58
484.75,8448.12,144.88
485.25,6495.72,108.02
485.75,5336.98,86.55
486.25,4564.57,72.5
486.75,4009.79,62.61
487.25,3590.04,55.26
487.75,3260.07,49.59
488.25,2992.98,45.07
488.75,2771.72,41.39
489.25,2584.98,38.33
489.75,2424.95,35.74
490.25,2286.03,33.53
490.75,2164.12,31.6
491.25,2056.14,29.92
491.75,1959.71,28.43
492.25,1872.99,27.11
492.75,1794.51,25.92
493.25,1723.1,24.85
493.75,1657.8,23.88
494.25,1597.82,23
494.75,1542.5,22.18
495.25,1491.3,21.44
495.75,1443.76,20.75
496.25,1399.46,20.12
496.75,1358.09,19.53
497.25,1319.34,18.98
497.75,1282.97,18.46
498.25,1248.74,17.98
498.75,1216.48,17.53
499.25,1186,17.11
499.75,1157.16,16.71
500.25,1129.81,16.33
500.75,1103.86,15.98
501.25,1079.17,15.64
501.75,1055.67,15.32
502.25,1033.26,15.02
502.75,1011.87,14.73
503.25,991.42,14.46
503.75,971.86,14.2
504.25,953.11,13.95
504.75,935.14,13.71
505.25,917.89,13.48
505.75,901.32,13.26
506.25,885.38,13.05
506.75,870.04,12.85
507.25,855.26,12.66
507.75,841.02,12.48
508.25,827.28,12.3
508.75,814.01,12.13
509.25,801.19,11.96
509.75,788.8,11.8
510.25,776.81,11.65
510.75,765.21,11.5
511.25,753.97,11.36
511.75,743.08,11.22
512.25,732.52,11.09
512.75,722.27,10.96
513.25,712.32,10.84
513.75,702.66,10.72
514.25,693.27,10.6
514.75,684.14,10.49
515.25,675.27,10.38
515.75,666.63,10.27
516.25,658.22,10.17
516.75,650.03,10.07
517.25,642.05,9.97
517.75,634.27,9.88
518.25,626.68,9.79
518.75,619.28,9.7
519.25,612.06,9.61
519.75,605.01,9.53
520.25,598.13,9.44
520.75,591.4,9.36
521.25,584.83,9.29
521.75,578.41,9.21
522.25,572.12,9.14
522.75,565.98,9.06
523.25,559.97,8.99
523.75,554.08,8.92
524.25,548.32,8.86
524.75,542.67,8.79
525.25,537.14,8.73
525.75,531.73,8.67
526.25,526.42,8.6
526.75,521.21,8.55
527.25,516.1,8.49
527.75,511.09,8.43
528.25,506.18,8.37
528.75,501.35,8.32
529.25,496.62,8.27
529.75,491.97,8.21
530.25,487.4,8.16
530.75,482.91,8.11
531.25,478.51,8.06
531.75,474.17,8.02
532.25,469.91,7.97
532.75,465.72,7.92
533.25,461.6,7.88
533.75,457.55,7.83
534.25,453.56,7.79
534.75,449.64,7.75
535.25,445.78,7.71
535.75,441.97,7.67
536.25,438.23,7.63
536.75,434.54,7.59
537.25,430.91,7.55
537.75,427.33,7.51
538.25,423.8,7.47
538.75,420.33,7.44
539.25,416.9,7.4
539.75,413.52,7.36
540.25,410.19,7.33
540.75,406.9,7.3
541.25,403.66,7.26
541.75,400.45,7.23
542.25,397.3,7.2
542.75,394.18,7.17
543.25,391.1,7.13
543.75,388.06,7.1
544.25,385.06,7.07
544.75,382.1,7.04
545.25,379.17,7.01
545.75,376.28,6.99
546.25,373.42,6.96
546.75,370.6,6.93
547.25,367.8,6.9
547.75,365.04,6.88
548.25,362.31,6.85
548.75,359.61,6.82
549.25,356.94,6.8
549.75,354.3,6.77
550.25,351.69,6.75
550.75,349.1,6.72
551.25,346.54,6.7
551.75,344.01,6.67
552.25,341.5,6.65
552.75,339.02,6.63
553.25,336.56,6.6
553.75,334.12,6.58
554.25,331.71,6.56
554.75,329.32,6.54
555.25,326.95,6.52
555.75,324.6,6.5
556.25,322.27,6.47
556.75,319.97,6.45
557.25,317.68,6.43
557.75,315.41,6.41
558.25,313.17,6.39
558.75,310.94,6.37
559.25,308.72,6.35
559.75,306.53,6.34
560.25,304.35,6.32
560.75,302.19,6.3
561.25,300.05,6.28
561.75,297.92,6.26
562.25,295.8,6.24
562.75,293.7,6.23
563.25,291.62,6.21
563.75,289.55,6.19
564.25,287.49,6.18
564.75,285.45,6.16
565.25,283.42,6.14
565.75,281.4,6.13
566.25,279.4,6.11
566.75,277.41,6.09
567.25,275.43,6.08
567.75,273.46,6.06
568.25,271.5,6.05
568.75,269.55,6.03
569.25,267.61,6.02
569.75,265.68,6
570.25,263.77,5.99
570.75,261.86,5.97
571.25,259.96,5.96
571.75,258.07,5.95
572.25,256.18,5.93
572.75,254.31,5.92
573.25,252.44,5.91
573.75,250.59,5.89
574.25,248.74,5.88
574.75,246.89,5.87
575.25,245.05,5.85
575.75,243.22,5.84
576.25,241.4,5.83
576.75,239.58,5.82
577.25,237.77,5.8
577.75,235.96,5.79
578.25,234.16,5.78
578.75,232.36,5.77
579.25,230.57,5.76
579.75,228.78,5.75
580.25,227,5.73
580.75,225.22,5.72
581.25,223.44,5.71
581.75,221.67,5.7
582.25,219.9,5.69
582.75,218.13,5.68
583.25,216.37,5.67
583.75,214.6,5.66
584.25,212.84,5.65
584.75,211.08,5.64
585.25,209.33,5.63
585.75,207.57,5.62
586.25,205.82,5.61
586.75,204.06,5.6
587.25,202.31,5.59
587.75,200.56,5.58
588.25,198.81,5.57
588.75,197.05,5.56
589.25,195.3,5.55
589.75,193.55,5.54
590.25,191.79,5.53
590.75,190.03,5.53
591.25,188.28,5.52
591.75,186.52,5.51
592.25,184.75,5.5
592.75,182.99,5.49
593.25,181.22,5.48
593.75,179.45,5.48
594.25,177.68,5.47
594.75,175.91,5.46
595.25,174.13,5.45
595.75,172.34,5.44
596.25,170.55,5.44
596.75,168.76,5.43
597.25,166.96,5.42
597.75,165.16,5.41
598.25,163.35,5.41
598.75,161.54,5.4
599.25,159.72,5.39
599.75,157.89,5.39
600.25,156.06,5.38
600.75,154.22,5.37
601.25,152.37,5.37
601.75,150.52,5.36
602.25,148.65,5.36
602.75,146.78,5.35
603.25,144.9,5.34
603.75,143.01,5.34
604.25,141.11,5.33
604.75,139.2,5.33
605.25,137.28,5.32
605.75,135.35,5.32
606.25,133.41,5.31
606.75,131.46,5.3
607.25,129.5,5.3
607.75,127.52,5.29
608.25,125.53,5.29
608.75,123.53,5.29
609.25,121.51,5.28
609.75,119.49,5.28
610.25,117.44,5.27
610.75,115.38,5.27
611.25,113.31,5.26
611.75,111.22,5.26
612.25,109.11,5.26
612.75,106.99,5.25
613.25,104.84,5.25
613.75,102.68,5.24
614.25,100.51,5.24
614.75,98.31,5.24
615.25,96.09,5.24
615.75,93.85,5.23
616.25,91.59,5.23
616.75,89.31,5.23
617.25,87.01,5.22
617.75,84.68,5.22
618.25,82.33,5.22
618.75,79.96,5.22
619.25,77.56,5.22
619.75,75.13,5.21
620.25,72.67,5.21
620.75,70.19,5.21
621.25,67.68,5.21
621.75,65.14,5.21
622.25,62.57,5.21
622.75,59.97,5.21
623.25,57.34,5.21
623.75,54.67,5.21
624.25,51.96,5.21
624.75,49.23,5.21
625.25,46.45,5.21
625.75,43.64,5.21
626.25,40.79,5.21
626.75,37.9,5.21
627.25,34.96,5.21
627.75,31.99,5.21
628.25,28.96,5.21
628.75,25.9,5.22
629.25,22.78,5.22
629.75,19.62,5.22
630.25,16.41,5.22
630.75,13.14,5.23
631.25,9.82,5.23
631.75,6.44,5.23
632.25,3.01,5.24
632.75,-0.48,5.24
633.25,-4.04,5.25
