Sr2,5p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
300.00000,-127.98,2.52,0.00,0.00
300.02000,-128.09,2.52,0.00,0.00
300.04000,-128.19,2.52,0.00,0.00
300.06000,-128.29,2.52,0.00,0.00
300.08000,-128.39,2.52,0.00,0.00
300.10000,-128.50,2.53,0.00,0.00
300.12000,-128.60,2.53,0.00,0.00
300.14000,-128.70,2.53,0.00,0.00
300.16000,-128.81,2.53,0.00,0.00
300.18000,-128.91,2.53,0.00,0.00
300.20000,-129.01,2.53,0.00,0.00
300.22000,-129.12,2.54,0.00,0.00
300.24000,-129.22,2.54,0.00,0.00
300.26000,-129.32,2.54,0.00,0.00
300.28000,-129.43,2.54,0.00,0.00
300.30000,-129.53,2.54,0.00,0.00
300.32000,-129.64,2.54,0.00,0.00
300.34000,-129.74,2.54,0.00,0.00
300.36000,-129.84,2.55,0.00,0.00
300.38000,-129.95,2.55,0.00,0.00
300.40000,-130.05,2.55,0.00,0.00
300.42000,-130.16,2.55,0.00,0.00
300.44000,-130.26,2.55,0.00,0.00
300.46000,-130.37,2.55,0.00,0.00
300.48000,-130.47,2.55,0.00,0.00
300.50000,-130.58,2.56,0.00,0.00
300.52000,-130.68,2.56,0.00,0.00
300.54000,-130.79,2.56,0.00,0.00
300.56000,-130.89,2.56,0.00,0.00
300.58000,-131.00,2.56,0.00,0.00
300.60000,-131.11,2.56,0.00,0.00
300.62000,-131.21,2.57,0.00,0.00
300.64000,-131.32,2.57,0.00,0.00
300.66000,-131.42,2.57,0.00,0.00
300.68000,-131.53,2.57,0.00,0.00
300.70000,-131.64,2.57,0.00,0.00
300.72000,-131.74,2.57,0.00,0.00
300.74000,-131.85,2.57,0.00,0.00
300.76000,-131.95,2.58,0.00,0.00
300.78000,-132.06,2.58,0.00,0.00
300.80000,-132.17,2.58,0.00,0.00
300.82000,-132.27,2.58,0.00,0.00
300.84000,-132.38,2.58,0.00,0.00
300.86000,-132.49,2.58,0.00,0.00
300.88000,-132.60,2.59,0.00,0.00
300.90000,-132.70,2.59,0.00,0.00
300.92000,-132.81,2.59,0.00,0.00
300.94000,-132.92,2.59,0.00,0.00
300.96000,-133.03,2.59,0.00,0.00
300.98000,-133.13,2.59,0.00,0.00
301.00000,-133.24,2.59,0.00,0.00
301.02000,-133.35,2.60,0.00,0.00
301.04000,-133.46,2.60,0.00,0.00
301.06000,-133.57,2.60,0.00,0.00
301.08000,-133.68,2.60,0.00,0.00
301.10000,-133.78,2.60,0.00,0.00
301.12000,-133.89,2.60,0.00,0.00
301.14000,-134.00,2.61,0.00,0.00
301.16000,-134.11,2.61,0.00,0.00
301.18000,-134.22,2.61,0.00,0.00
301.20000,-134.33,2.61,0.00,0.00
301.22000,-134.44,2.61,0.00,0.00
301.24000,-134.55,2.61,0.00,0.00
301.26000,-134.66,2.62,0.00,0.00
301.28000,-134.77,2.62,0.00,0.00
301.30000,-134.88,2.62,0.00,0.00
301.32000,-134.99,2.62,0.00,0.00
301.34000,-135.10,2.62,0.00,0.00
301.36000,-135.21,2.62,0.00,0.00
301.38000,-135.32,2.62,0.00,0.00
301.40000,-135.43,2.63,0.00,0.00
301.42000,-135.54,2.63,0.00,0.00
301.44000,-135.65,2.63,0.00,0.00
301.46000,-135.76,2.63,0.00,0.00
301.48000,-135.87,2.63,0.00,0.00
301.50000,-135.98,2.63,0.00,0.00
301.52000,-136.09,2.64,0.00,0.00
301.54000,-136.20,2.64,0.00,0.00
301.56000,-136.31,2.64,0.00,0.00
301.58000,-136.42,2.64,0.00,0.00
301.60000,-136.54,2.64,0.00,0.00
301.62000,-136.65,2.64,0.00,0.00
301.64000,-136.76,2.65,0.00,0.00
301.66000,-136.87,2.65,0.00,0.00
301.68000,-136.98,2.65,0.00,0.00
301.70000,-137.10,2.65,0.00,0.00
301.72000,-137.21,2.65,0.00,0.00
301.74000,-137.32,2.65,0.00,0.00
301.76000,-137.43,2.66,0.00,0.00
301.78000,-137.55,2.66,0.00,0.00
301.80000,-137.66,2.66,0.00,0.00
301.82000,-137.77,2.66,0.00,0.00
301.84000,-137.88,2.66,0.00,0.00
