Sr2,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
300.00000,-90.92,0.82,0.00,0.00
300.02000,-90.95,0.82,0.00,0.00
300.04000,-90.98,0.82,0.00,0.00
300.06000,-91.01,0.82,0.00,0.00
300.08000,-91.03,0.82,0.00,0.00
300.10000,-91.06,0.82,0.00,0.00
300.12000,-91.09,0.82,0.00,0.00
300.14000,-91.12,0.82,0.00,0.00
300.16000,-91.14,0.82,0.00,0.00
300.18000,-91.17,0.82,0.00,0.00
300.20000,-91.20,0.82,0.00,0.00
300.22000,-91.23,0.82,0.00,0.00
300.24000,-91.25,0.82,0.00,0.00
300.26000,-91.28,0.82,0.00,0.00
300.28000,-91.31,0.83,0.00,0.00
300.30000,-91.34,0.83,0.00,0.00
300.32000,-91.36,0.83,0.00,0.00
300.34000,-91.39,0.83,0.00,0.00
300.36000,-91.42,0.83,0.00,0.00
300.38000,-91.45,0.83,0.00,0.00
300.40000,-91.48,0.83,0.00,0.00
300.42000,-91.50,0.83,0.00,0.00
300.44000,-91.53,0.83,0.00,0.00
300.46000,-91.56,0.83,0.00,0.00
300.48000,-91.59,0.83,0.00,0.00
300.50000,-91.61,0.83,0.00,0.00
300.52000,-91.64,0.83,0.00,0.00
300.54000,-91.67,0.83,0.00,0.00
300.56000,-91.70,0.83,0.00,0.00
300.58000,-91.72,0.83,0.00,0.00
300.60000,-91.75,0.83,0.00,0.00
300.62000,-91.78,0.83,0.00,0.00
300.64000,-91.81,0.83,0.00,0.00
300.66000,-91.84,0.83,0.00,0.00
300.68000,-91.86,0.83,0.00,0.00
300.70000,-91.89,0.83,0.00,0.00
300.72000,-91.92,0.83,0.00,0.00
300.74000,-91.95,0.83,0.00,0.00
300.76000,-91.97,0.83,0.00,0.00
300.78000,-92.00,0.83,0.00,0.00
300.80000,-92.03,0.83,0.00,0.00
300.82000,-92.06,0.83,0.00,0.00
300.84000,-92.09,0.83,0.00,0.00
300.86000,-92.11,0.83,0.00,0.00
300.88000,-92.14,0.83,0.00,0.00
300.90000,-92.17,0.83,0.00,0.00
300.92000,-92.20,0.83,0.00,0.00
300.94000,-92.22,0.83,0.00,0.00
300.96000,-92.25,0.83,0.00,0.00
300.98000,-92.28,0.83,0.00,0.00
301.00000,-92.31,0.83,0.00,0.00
301.02000,-92.34,0.83,0.00,0.00
301.04000,-92.36,0.83,0.00,0.00
301.06000,-92.39,0.83,0.00,0.00
301.08000,-92.42,0.83,0.00,0.00
301.10000,-92.45,0.83,0.00,0.00
301.12000,-92.48,0.84,0.00,0.00
301.14000,-92.50,0.84,0.00,0.00
301.16000,-92.53,0.84,0.00,0.00
301.18000,-92.56,0.84,0.00,0.00
301.20000,-92.59,0.84,0.00,0.00
301.22000,-92.62,0.84,0.00,0.00
301.24000,-92.64,0.84,0.00,0.00
301.26000,-92.67,0.84,0.00,0.00
301.28000,-92.70,0.84,0.00,0.00
301.30000,-92.73,0.84,0.00,0.00
301.32000,-92.76,0.84,0.00,0.00
301.34000,-92.79,0.84,0.00,0.00
301.36000,-92.81,0.84,0.00,0.00
301.38000,-92.84,0.84,0.00,0.00
301.40000,-92.87,0.84,0.00,0.00
301.42000,-92.90,0.84,0.00,0.00
301.44000,-92.93,0.84,0.00,0.00
301.46000,-92.95,0.84,0.00,0.00
301.48000,-92.98,0.84,0.00,0.00
301.50000,-93.01,0.84,0.00,0.00
301.52000,-93.04,0.84,0.00,0.00
301.54000,-93.07,0.84,0.00,0.00
301.56000,-93.10,0.84,0.00,0.00
301.58000,-93.12,0.84,0.00,0.00
301.60000,-93.15,0.84,0.00,0.00
301.62000,-93.18,0.84,0.00,0.00
301.64000,-93.21,0.84,0.00,0.00
301.66000,-93.24,0.84,0.00,0.00
301.68000,-93.26,0.84,0.00,0.00
301.70000,-93.29,0.84,0.00,0.00
301.72000,-93.32,0.84,0.00,0.00
301.74000,-93.35,0.84,0.00,0.00
301.76000,-93.38,0.84,0.00,0.00
301.78000,-93.41,0.84,0.00,0.00
301.80000,-93.43,0.84,0.00,0.00
301.82000,-93.46,0.84,0.00,0.00
301.84000,-93.49,0.84,0.00,0.00
301.86000,-93.52,0.84,0.00,0.00
301.88000,-93.55,0.84,0.00,0.00
301.90000,-93.58,0.84,0.00,0.00
301.92000,-93.61,0.84,0.00,0.00
301.94000,-93.63,0.84,0.00,0.00
301.96000,-93.66,0.85,0.00,0.00
301.98000,-93.69,0.85,0.00,0.00
302.00000,-93.72,0.85,0.00,0.00
302.02000,-93.75,0.85,0.00,0.00
302.04000,-93.78,0.85,0.00,0.00
302.06000,-93.80,0.85,0.00,0.00
302.08000,-93.83,0.85,0.00,0.00
302.10000,-93.86,0.85,0.00,0.00
302.12000,-93.89,0.85,0.00,0.00
302.14000,-93.92,0.85,0.00,0.00
302.16000,-93.95,0.85,0.00,0.00
302.18000,-93.98,0.85,0.00,0.00
302.20000,-94.00,0.85,0.00,0.00
302.22000,-94.03,0.85,0.00,0.00
302.24000,-94.06,0.85,0.00,0.00
302.26000,-94.09,0.85,0.00,0.00
302.28000,-94.12,0.85,0.00,0.00
302.30000,-94.15,0.85,0.00,0.00
302.32000,-94.18,0.85,0.00,0.00
302.34000,-94.20,0.85,0.00,0.00
302.36000,-94.23,0.85,0.00,0.00
302.38000,-94.26,0.85,0.00,0.00
302.40000,-94.29,0.85,0.00,0.00
302.42000,-94.32,0.85,0.00,0.00
302.44000,-94.35,0.85,0.00,0.00
302.46000,-94.38,0.85,0.00,0.00
302.48000,-94.41,0.85,0.00,0.00
302.50000,-94.43,0.85,0.00,0.00
302.52000,-94.46,0.85,0.00,0.00
302.54000,-94.49,0.85,0.00,0.00
302.56000,-94.52,0.85,0.00,0.00
302.58000,-94.55,0.85,0.00,0.00
302.60000,-94.58,0.85,0.00,0.00
302.62000,-94.61,0.85,0.00,0.00
302.64000,-94.64,0.85,0.00,0.00
302.66000,-94.66,0.85,0.00,0.00
302.68000,-94.69,0.85,0.00,0.00
